Meniu omnivori
Bors de gaina cu taitei,Tocanita de vita cu ciuperci,0xe2297fe4d8
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,0xe2297fe4d8
Ciorba ardeleneasca de vitel cu smantana,Hamburger Black Angus,0xe2297fe4d8

Meniu vegetarieni
Ciorba de fasole,Legume la cuptor,Cheesecake cu lamaie
Supa de rosii,Ratatouille,Placinta cu mere
Supa cu broccoli,Snitele de soia cu piure,Tort cu caramel

Meniu flexitarieni
Supa de rosii,Ratatouille,Placinta cu mere
Ciorba de frunze de sfecla,Somon la cuptor,Placinta cu visine
Ciorba radauteana,pastrav la cuptor,Tort cu caramel
