Menu omnivorous
Chicken soup with dumplings,Grilled chicken breast with rice,Pudding
Transylvanian veal soup with cream,Black Angus hamburger,White chocolate mousse
Bean soup with bone corn,Potatoes au gratin with mushrooms,Muffin

Menu vegetarian
Beet leaf soup,Vegetarian burger,Cherry pie
Pea dish,Baked aubergine slices,Pudding
Broccoli soup,Soy schnitzel with puree,Caramel cake

Menu flexitarian
Vegetable cream soup,Baked mackerel with tomatoes and garlic,Muffin
Fish soup,Baked vegetables,Cheesecake with lemon
Post stew,Baked carp with vegetables,Tiramisu
